0.904,1.001,1.558,1.974,2.676,3.386,4.200,0.904,1.001,1.558,1.974,2.676,3.386,4.200,0.904,1.001,1.558,1.974,2.676,3.386,4.200,100.000,100.000,100.000,100.000,100.000,100.000
0.904,1.008,1.702,2.045,2.500,3.040,3.550,0.904,1.008,1.702,2.045,2.500,3.040,3.550,0.904,1.008,1.702,2.045,2.500,3.040,3.550,100.000,100.000,100.000,100.000,100.000,100.000
0.904,1.008,1.731,1.866,2.584,2.740,3.189,0.904,1.008,1.731,1.866,2.584,2.740,3.189,0.904,1.008,1.731,1.866,2.584,2.740,3.189,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.674,0.624,0.591,0.589,0.545,0.585,0.606,0.674,0.624,0.591,0.589,0.545,0.585,0.606,0.674,0.624,0.591,0.589,0.545,0.585,0.606,100.000,100.000,100.000,100.000,100.000,100.000
1.575,1.044,0.936,4.735,1.945,3.588,0.831,1.575,1.044,0.936,4.735,1.945,3.588,0.831,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.409,0.443,0.828,0.414,0.434,0.812,0.811,0.409,0.443,0.828,0.414,0.434,0.812,0.811,0.409,0.443,0.828,0.414,0.434,0.812,0.811,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
4.807,4.599,4.097,1.353,1.276,1.489,1.727,4.807,4.599,4.097,1.353,1.276,1.489,1.727,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
3.046,4.042,4.774,4.972,6.147,8.175,7.777,3.046,4.042,4.774,4.972,6.147,8.175,7.777,3.046,4.042,4.774,4.972,6.147,8.175,7.777,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
7.560,7.477,6.894,5.353,2.394,1.985,1.214,7.560,7.477,6.894,5.353,2.394,1.985,1.214,7.560,7.477,6.894,5.353,2.394,1.985,1.214,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,4.669,4.704,4.810,4.863,5.361,5.401,5.394,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.470,0.467,0.474,0.485,0.502,0.591,0.535,0.470,0.467,0.474,0.485,0.502,0.591,0.535,100.000,100.000,100.000,100.000,100.000,100.000
3.435,4.506,3.944,2.173,1.190,1.512,1.742,3.435,4.506,3.944,2.173,1.190,1.512,1.742,0.000,0.000,0.000,0.000,0.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,100.000
0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.959,0.953,0.884,0.859,0.887,0.914,1.017,0.959,0.953,0.884,0.859,0.887,0.914,1.017,100.000,100.000,100.000,100.000,100.000,100.000
